title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"Colorado","The Brother Brothers","4dIhkME9H3hzb0wNhA3f1m",0.461,0.179,2,-15.205,1,0.0435,0.865,0.00319,0.112,0.223,119.083,177453,4
"Two Summers","One11Twenty","2wuoe2Y7PQysIA38omIYIE",0.767,0.503,5,-9.148,1,0.0428,0.0597,0.00619,0.0805,0.282,97.965,204001,4
"Pack a Day","Charlie Sztyk","7eBhzegzgFcQVx2o7ICk9x",0.788,0.366,8,-13.443,1,0.0374,0.858,0.628,0.253,0.362,98.027,211224,4
"Joyride","Cailin Russo","1nWLk91OyxUSJNYNNExTkK",0.436,0.409,0,-7.054,1,0.0255,0.116,0,0.586,0.107,84.115,216023,4
"You Taste Like Wine","The Collection","7agKHhiI7ubqzf6sgWkNjp",0.569,0.757,10,-6.629,1,0.0379,0.114,0.00442,0.102,0.508,167.958,226401,4
"Hidden Edelweiss","Spark Alaska","6xMFDLtFIiObaAuB42qHGW",0.758,0.347,9,-13.068,1,0.0875,0.859,0.00597,0.302,0.273,143.443,220943,4
"Caroline","Max Diaz","2sNyFhfDUqIt1rZsY02hyo",0.768,0.337,7,-15.455,1,0.192,0.931,0.00000101,0.13,0.755,101.442,178000,4
"Blueberry Island","Ben David","2zoBB3hdoi0XR9MERMFhIu",0.549,0.238,6,-10.859,1,0.0453,0.824,0.000306,0.196,0.173,132.225,268032,4
"Retro [ROUGH]","Childish Gambino","5CxFl4XSOMAClE8sL1zFv9",0.877,0.61,1,-6.722,1,0.0468,0.268,0.00282,0.114,0.338,109.963,155914,4
"Nico's Red Truck","Dijon","4zHC1zzSAV2xR7OlUqo2Oz",0.399,0.578,3,-3.298,0,0.0456,0.674,0,0.132,0.433,80.22,248854,4
"Ronson Princess","Clarence James","2Xk3MunfpZwHSJktWNhRbz",0.686,0.635,11,-7.695,1,0.0602,0.393,0,0.0982,0.335,95.041,294166,4
"EARLY TO THE PARTY","ASL","6Jle0PpzvYfWUO3YD27PNT",0.521,0.601,2,-5.335,1,0.0316,0.399,0,0.367,0.5,79.923,168830,4
"Shy","Hether","3TFNxpIwIzMi3jsMRy9GVZ",0.727,0.531,8,-8.219,1,0.0321,0.301,0.000343,0.152,0.94,105.617,201698,4
"SPF10","Requiem Inc.","0pjjN8tv0AogxHRPeVvc1V",0.713,0.648,3,-9.423,1,0.17,0.672,0,0.132,0.964,78.545,255060,4
"My Kind Of Woman","Mac DeMarco","4tXzPOr4UaBoA7k7pnpJI1",0.5,0.774,9,-7.062,1,0.0279,0.00331,0.62,0.185,0.453,91.769,190849,4
"Traveling Alone","Tom The Mail Man","00c6I4e1BL1vqbD97KIh50",0.691,0.595,8,-6.865,0,0.0377,0.0888,0.0000556,0.0886,0.415,121.004,160165,4
"Pasadena","Young Mister","5565AiKjInrEUBrsb9yf1I",0.556,0.686,7,-8.835,1,0.0314,0.182,0.945,0.321,0.395,117.985,226446,4
"Find You","Super City ","3iQR85ARBf5Z0SXXcUm3He",0.535,0.835,2,-6.899,1,0.0396,0.711,0.0158,0.198,0.0996,135.194,271464,4
"Big Black Car","Gregory Alan Isakov","3Kj2EWpIBnvETsYq4cq0IH",0.6,0.186,3,-15.926,1,0.0317,0.909,0.00102,0.104,0.468,110.044,217467,4
"Fruit Punch","Subtle Orange","4qKnLGV6HaHo3Ubv4GZ6ZX",0.697,0.391,9,-13.109,1,0.0494,0.162,0.0532,0.109,0.898,126.923,180500,4
"1980s Horror Film II","Wallows","3VzULnaqPKf1deQyZ5W4Ah",0.593,0.658,2,-4.957,1,0.0304,0.0038,0.0126,0.0804,0.27,116.021,235272,4
"When You Were Made","The Growlers","47WtMNT8S9n3eqsCn076Bf",0.557,0.769,11,-5.401,1,0.0285,0.412,0,0.173,0.395,116.088,218352,4
"The Dirt","Tor Miller","67nAEA8YEXhpRe3vpvVZoK",0.285,0.481,11,-8.388,1,0.0387,0.602,0.00000151,0.118,0.334,80.153,225867,4
"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)","Cautious Clay","6lIRYe72fn1pf7TNqfI0ul",0.818,0.623,9,-5.901,0,0.043,0.201,0,0.112,0.968,120.104,138000,4
"Miss Summer","ODIE","58VNpcJpI5dEKxYByCkbXc",0.589,0.527,0,-9.962,1,0.0342,0.599,0.000111,0.0853,0.132,133.981,162377,4
"Indie Movie Night 1","Robin Skies","3ZdYouySVrlIVQ02xYppj3",0.946,0.284,9,-13.29,1,0.0758,0.0468,0,0.132,0.48,101.008,137822,4
"Hell N Back","Bakar","3NRql0A1Ef4RCvT473iqgD",0.584,0.684,10,-4.314,0,0.567,0.312,0.0000905,0.112,0.72,210.164,213573,4
"9/10","Jeff Rosenstock","6DkzLTT71IfNfUxGsDhJ2K",0.665,0.492,11,-7.657,1,0.0262,0.0771,0.00000144,0.0884,0.438,142.062,209717,4
"Caroline","Lowertown","7gFFwqPDBlJ3qw4WccSDA8",0.475,0.598,5,-11.894,1,0.0796,0.669,0.144,0.261,0.588,175.345,243345,4
"Love Is Lame","CamRony","5uTRISdXtLRQ8jdFhjeuNH",0.598,0.48,4,-6.92,1,0.54,0.59,0,0.153,0.689,142.563,194685,4
"Hate It or Love It","Cliff","6Oke7cZp3OqupCEe8AIfLz",0.574,0.791,6,-10.362,0,0.0527,0.38,0,0.257,0.411,91.961,212731,4
"Vanilla Curls","Teddy Hyde","3KaWB1Kdl93PWaXT8mDRpD",0.403,0.215,0,-16.689,1,0.0502,0.698,0.0134,0.136,0.226,97.873,290483,4
"These Drugs","Sugar Pine 7","6BAuys1bPzAqPUEzZ0OAA5",0.708,0.369,0,-13.966,0,0.128,0.327,0,0.0566,0.779,160.214,198000,4
"Figure 8","Peach Pit","5HTap7v6OqB7jPT5J2Z4um",0.508,0.624,8,-9.395,1,0.0403,0.000256,0.0000033,0.146,0.415,80.099,208653,4
"Chasin' Honey","Wild Party","0Z0iYAtKYswMYXL3kJtdO4",0.526,0.637,7,-5.052,1,0.0656,0.02,0.00000125,0.0978,0.765,176.1,189960,4
"October","Prentiss","6nzDvJ4MBIc6a5qUehGcCn",0.71,0.403,6,-14.092,1,0.0583,0.013,0,0.0985,0.431,140.989,122723,4
"Can't Take My Eyes Off You","Private Island","1uddOsj7TyRA13hnS2yDyk",0.614,0.609,5,-5.837,0,0.0411,0.165,0.00611,0.152,0.429,123.996,209000,4
"Moonsmoke","Caamp","0YIr0EWqHv5lK9nPH0E1Aq",0.654,0.303,9,-13.882,0,0.0358,0.786,0.881,0.0822,0.114,120.714,198347,4
"Booster Seat","Spacey Jane","5th1bFGGaXLM7wDBJpcF06",0.629,0.551,11,-5.402,1,0.0263,0.0418,0.00000118,0.108,0.699,111.961,268880,4
"Harvard","LAUNDRY DAY","6sqw8w1n1sopzGaNIwZL4N",0.504,0.691,7,-6.35,1,0.0397,0.276,0,0.169,0.564,79.912,206950,4
